username,repo_name,stars,repo_url
amphp,amp,268000,https://github.com/amphp/amp
danog,MadelineProto,176000,https://github.com/danog/MadelineProto
unreal4u,telegram-api,170000,https://github.com/unreal4u/telegram-api
amphp,parallel,167000,https://github.com/amphp/parallel
amphp,http-client,95600,https://github.com/amphp/http-client
amphp,byte-stream,60400,https://github.com/amphp/byte-stream
php-service-bus,service-bus,53800,https://github.com/php-service-bus/service-bus
amphp,mysql,52500,https://github.com/amphp/mysql
amphp,parallel-functions,44500,https://github.com/amphp/parallel-functions
amphp,process,42300,https://github.com/amphp/process
amphp,socket,35600,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,30600,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,30500,https://github.com/amphp/sync
amphp,dns,28300,https://github.com/amphp/dns
amphp,redis,27900,https://github.com/amphp/redis
amphp,websocket-client,27000,https://github.com/amphp/websocket-client
kelunik,acme,26100,https://github.com/kelunik/acme
amphp,serialization,23000,https://github.com/amphp/serialization
amphp,websocket-server,21800,https://github.com/amphp/websocket-server
PeeHaa,mailgrab,21800,https://github.com/PeeHaa/mailgrab
